Kryterium,Waga kryterium,Podkryterium - Obiekt,Waga podkryterium,Jednostka w buforze,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W47,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W48,W37,W38,W39,W40,W41,W42,W49,W43,W44,W45,W46,W50
Przestrzenno-społeczne (Obiekty sportowo-rekreacyjne),3,Plac sportowy,1,szt.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Plac gier i zabaw,1,szt.,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Kort tenisowy,2,szt.,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Stadion,4,szt.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Basen,4,szt.,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Stok narciarski,4,szt.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Kompleks sportowo-rekreacyjny,5,szt.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Zespół domów letniskowych,3,szt.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Park lub skwer,2,szt.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Przestrzenno-społeczne (Obiekty przemysłowo- gospodarcze),4,Gospodarstwo hodowlane,3,szt.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Oczyszczalnia ścieków,4,szt.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
,,Podstacja elektroenergetyczna,4,szt.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Przepompownia,3,szt.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Składowiska odpadów,4,szt.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Zakład metalurgiczny,5,szt.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Zakład produkcyjny, usługowy lub remontowy",3,szt.,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1
,,Odpady komunalne,3,m2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
,,Odpady przemysłowe,4,m2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Przestrzenno-społeczne (Wyburzenia obiektów),4,Budynki przemysłowe,4,szt.,2,1,0,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,0,1,2,1,0,1,1,0,1,2,0,2,2,1,1,1,2,1,1,0,2,2,0,2,2,1,0,1,2,2,1,0
,,Budynki transportu i łączności (garaż),1,szt.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Budynki handlowo-usługowe,3,szt.,2,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
,,"Zbiorniki, silosy i budynki magazynowe",3,szt.,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Budynki biurowe,3,szt.,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Budynki produkcyjne, usługowe i gospodarcze dla rolnictwa",3,szt.,21,17,4,23,10,19,8,21,4,12,13,12,13,13,17,22,16,10,12,11,12,20,4,14,13,4,11,12,14,12,12,14,10,11,21,13,10,4,12,12,12,12,12,13,4,10,12,12,15,4
,,Pozostałe budynki niemieszkalne,3,szt.,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Budynki mieszkalne,4,szt.,90,35,28,35,30,30,19,89,28,21,19,21,19,22,32,30,30,20,22,29,25,29,28,31,26,28,34,25,29,26,25,32,20,22,89,27,21,28,26,26,21,26,25,22,28,22,26,26,22,28
Ekonomiczne (Geologia),5,Obszary zagrożone ruchami masowymi,4,m2,2 163.05,"925,60",6 045.33,18 821.91,"0,00","0,00","0,00",2 181.61,6 049.66,"426,58","0,00","426,58","0,00","578,86",5 611.02,"0,00",6 341.09,"0,00","0,00","0,00","0,00",6 341.08,28 930.05,"0,00","0,00",6 046.91,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2 715.46,"0,00","0,00",6 035.01,"0,00","0,00","0,00","0,00","0,00","0,00",6 017.98,"0,00","0,00","0,00","0,00",6 046.91
,,Osuwisko aktywne ciągle,5,m2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
,,Osuwisko aktywne okresowo,4,m2,"631,41","0,00","0,00",4 258.52,"0,00","0,00","0,00","631,41","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",1 279.30,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
,,Osuwisko nieaktywne,3,m2,34 792.13,8 482.96,23 958.03,15 882.09,8 483.02,8 482.98,8 482.98,34 792.13,23 963.03,15 545.67,11 236.11,15 545.59,11 236.10,17 361.84,48 535.34,8 482.98,48 658.43,8 482.98,"0,00",8 482.98,8 483.14,47 032.85,37 965.63,8 482.17,8 482.35,23 958.23,8 481.84,8 483.24,"0,00",8 483.02,8 483.04,"0,00",8 483.09,8 482.98,34 791.80,10 183.50,8 483.09,23 960.85,8 482.98,8 482.98,"0,00",8 482.98,8 482.98,8 482.98,23 956.48,8 482.98,8 483.02,8 482.98,"0,00",23 958.23
Ekonomiczne (Tereny i kategorie górnicze),5,Kategoria I,3,m2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
,,Kategoria II,4,m2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
,,Kategoria III,5,m2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
,,Kategoria IV,5,m2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
,,Kategoria V,5,m2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
,,Tereny górnicze - Wody lecznicze,4,m2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
,,Tereny górnicze - Piaski i żwiry,3,m2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
,,Tereny górnicze - Kamienie łamane i bloczne,4,m2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
,,Tereny górnicze - Gazy ziemne,5,m2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
,,Tereny górnicze - Solanka,4,m2,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Ekonomiczne (Budowa),5,Moduł bilansu robót ziemnych,3,m3,200 116.36,168 322.98,211 981.74,426 489.74,293 677.35,57 721.64,438 159.84,410 736.81,216 931.91,796 137.05,725 005.87,235 115.76,353 775.12,517 169.57,353 596.23,391 467.65,344 698.74,550 706.50,237 762.71,215 009.83,213 478.79,16 896.00,218 658.32,54 671.23,339 569.15,201 491.57,294 972.23,576 579.80,439 678.56,588 144.57,331 186.75,202 847.33,80 127.24,340 515.60,192 173.66,536 132.35,144 603.52,214 999.24,553 612.09,478 505.48,31 733.54,245 725.64,700 112.41,646 249.02,211 377.37,2 486.02,604 062.83,750 399.62,6 053 321.26,212 422.08
,,Suma robót ziemnych,3,m3,1 065 852.72,359 818.86,314 319.24,816 474.04,502 496.73,562 151.50,936 868.86,861 248.93,328 791.41,1 107 859.13,1 029 467.41,854 634.80,843 297.24,999 152.65,1 046 331.43,884 555.75,972 881.72,593 255.24,1 252 377.99,565 186.95,396 514.99,618 321.24,336 999.10,589 959.83,433 193.49,322 018.45,638 180.91,667 938.38,1 259 197.26,696 400.85,446 765.79,1 339 035.59,322 980.30,440 284.58,1 078 722.82,868 418.95,336 945.30,328 279.30,659 312.59,622 787.04,1 402 920.42,505 585.56,814 845.43,721 597.62,327 547.49,650 153.12,708 163.05,858 916.22,6 286 262.12,326 057.90
