L.p.,"L.p. Nr Kombinacji",Nr Kombinacj i,Odcinek 1,Odcinek 2,Odcinek 3
1,56,38260,W16,W16,W10
2,77,38264,W16,W16,W14
3,107,38460,W16,W20,W10
4,135,38464,W16,W20,W14
5,180,38266,W16,W16,W16
6,206,38262,W16,W16,W12
7,273,38466,W16,W20,W16
8,292,23260,W10,W16,W10
9,307,38270,W16,W16,W20
10,317,38462,W16,W20,W12
11,355,23264,W10,W16,W14
12,413,23460,W10,W20,W10
13,430,38470,W16,W20,W20
14,466,38265,W16,W16,W15
15,474,38273,W16,W16,W23
16,485,33210,W14,W15,W10
17,487,23464,W10,W20,W14
18,573,33214,W14,W15,W14
19,598,23266,W10,W16,W16
20,615,38465,W16,W20,W15
21,635,38473,W16,W20,W23
22,670,23262,W10,W16,W12
23,710,33260,W14,W16,W10
24,712,25710,W11,W15,W10
25,745,38263,W16,W16,W13
26,791,23466,W10,W20,W16
27,827,33264,W14,W16,W14
28,834,25714,W11,W15,W14
29,844,25610,W11,W13,W10
30,846,23270,W10,W16,W20
31,853,23462,W10,W20,W12
32,906,33216,W14,W15,W16
33,918,33460,W14,W20,W10
34,919,30610,W13,W13,W10
35,934,38463,W16,W20,W13
36,960,25614,W11,W13,W14
37,988,33212,W14,W15,W12
38,1017,38267,W16,W16,W17
39,1033,33464,W14,W20,W14
40,1048,30614,W13,W13,W14
41,1050,23470,W10,W20,W20
42,1105,23265,W10,W16,W15
43,1111,37960,W16,W10,W10
44,1139,23273,W10,W16,W23
45,1199,38261,W16,W16,W11
46,1216,33220,W14,W15,W20
47,1222,33266,W14,W16,W16
48,1243,38467,W16,W20,W17
49,1248,25716,W11,W15,W16
50,1250,37964,W16,W10,W14
51,1335,33262,W14,W16,W12
52,1365,25712,W11,W15,W12
53,1376,23465,W10,W20,W15
54,1392,38272,W16,W16,W22
55,1401,38276,W16,W16,W26
56,1421,23473,W10,W20,W23
57,1443,25616,W11,W13,W16
58,1477,38461,W16,W20,W11
59,1502,40760,W17,W16,W10
60,1511,33466,W14,W20,W16
61,1536,25612,W11,W13,W12
62,1560,30616,W13,W13,W16
63,1574,33215,W14,W15,W15
64,1596,23263,W10,W16,W13
65,1611,33270,W14,W16,W20
66,1615,33462,W14,W20,W12
67,1618,33223,W14,W15,W23
68,1650,40764,W17,W16,W14
69,1668,38472,W16,W20,W22
70,1673,25720,W11,W15,W20
71,1683,38476,W16,W20,W26
72,1690,38760,W16,W26,W10
73,1697,30612,W13,W13,W12
74,1771,37966,W16,W10,W16
75,1795,40960,W17,W20,W10
76,1797,38285,W16,W16,W35
77,1859,38764,W16,W26,W14
78,1868,25620,W11,W13,W20
79,1883,37962,W16,W10,W12
80,1906,23463,W10,W20,W13
81,1927,33470,W14,W20,W20
82,1953,40964,W17,W20,W14
83,2016,33265,W14,W16,W15
84,2024,23267,W10,W16,W17
85,2029,30620,W13,W13,W20
86,2068,33273,W14,W16,W23
87,2099,25715,W11,W15,W15
88,2107,38485,W16,W20,W35
89,2110,38160,W16,W14,W10
90,2134,35710,W15,W15,W10
91,2156,25723,W11,W15,W23
92,2172,33213,W14,W15,W13
93,2209,22960,W10,W10,W10
94,2215,37970,W16,W10,W20
95,2224,40766,W17,W16,W16
96,2295,38164,W16,W14,W14
97,2309,25615,W11,W13,W15
98,2319,23261,W10,W16,W11
99,2340,35714,W15,W15,W14
100,2362,40762,W17,W16,W12
101,2375,33465,W14,W20,W15
102,2383,23467,W10,W20,W17
103,2385,25623,W11,W13,W23
104,2386,38560,W16,W22,W10
105,2421,22964,W10,W10,W14
106,2436,33473,W14,W20,W23
107,2486,38766,W16,W26,W16
108,2542,30615,W13,W13,W15
109,2604,33060,W14,W12,W10
110,2605,28210,W12,W15,W10
111,2608,40966,W17,W20,W16
112,2610,23272,W10,W16,W22
113,2619,38564,W16,W22,W14
114,2627,30623,W13,W13,W23
115,2631,23276,W10,W16,W26
116,2660,38762,W16,W26,W12
117,2723,37965,W16,W10,W15
118,2735,23461,W10,W20,W11
119,2745,33263,W14,W16,W13
120,2751,33217,W14,W15,W17
121,2774,40962,W17,W20,W12
122,2794,40770,W17,W16,W20
123,2814,37973,W16,W10,W23
124,2865,33064,W14,W12,W14
125,2877,28214,W12,W15,W14
126,2884,25713,W11,W15,W13
127,3039,23472,W10,W20,W22
128,3070,38166,W16,W14,W16
129,3072,23476,W10,W20,W26
130,3098,38770,W16,W26,W20
131,3102,23760,W10,W26,W10
132,3120,33211,W14,W15,W11
133,3146,25613,W11,W13,W13
134,3158,35716,W15,W15,W16
135,3166,33463,W14,W20,W13
136,3188,40970,W17,W20,W20
137,3205,38162,W16,W14,W12
138,3214,22966,W10,W10,W16
139,3225,23285,W10,W16,W35
140,3312,40765,W17,W16,W15
141,3331,35712,W15,W15,W12
142,3351,33267,W14,W16,W17
143,3355,23764,W10,W26,W14
144,3382,25560,W11,W12,W10
145,3387,22962,W10,W10,W12
146,3404,40773,W17,W16,W23
147,3414,38566,W16,W22,W16
148,3425,30613,W13,W13,W13
149,3444,33222,W14,W15,W22
150,3479,33226,W14,W15,W26
151,3538,37963,W16,W10,W13
152,3540,25717,W11,W15,W17
153,3609,38562,W16,W22,W12
154,3661,38765,W16,W26,W15
155,3681,25564,W11,W12,W14
156,3691,38170,W16,W14,W20
157,3692,23485,W10,W20,W35
158,3749,33066,W14,W12,W16
159,3792,40965,W17,W20,W15
160,3795,38773,W16,W26,W23
161,3796,33261,W14,W16,W11
162,3801,28216,W12,W15,W16
163,3831,85760,W35,W16,W10
164,3857,33467,W14,W20,W17
165,3858,25617,W11,W13,W17
166,3894,35720,W15,W15,W20
167,3900,40973,W17,W20,W23
168,3943,22970,W10,W10,W20
169,3968,33062,W14,W12,W12
170,4021,28212,W12,W15,W12
171,4024,25711,W11,W15,W11
172,4091,85764,W35,W16,W14
173,4140,38570,W16,W22,W20
174,4146,33272,W14,W16,W22
175,4155,23560,W10,W22,W10
176,4182,33276,W14,W16,W26
177,4193,30617,W13,W13,W17
178,4215,33235,W14,W15,W35
179,4234,40763,W17,W16,W13
180,4241,37967,W16,W10,W17
181,4265,85960,W35,W20,W10
182,4294,33461,W14,W20,W11
183,4304,23766,W10,W26,W16
184,4316,25611,W11,W13,W11
185,4328,38165,W16,W14,W15
186,4381,25722,W11,W15,W22
187,4430,25726,W11,W15,W26
188,4441,38173,W16,W14,W23
189,4462,23564,W10,W22,W14
190,4506,23762,W10,W26,W12
191,4517,33070,W14,W12,W20
192,4527,85964,W35,W20,W14
193,4551,35715,W15,W15,W15
194,4566,22965,W10,W10,W15
195,4584,28220,W12,W15,W20
196,4634,38763,W16,W26,W13
197,4654,33472,W14,W20,W22
198,4668,35723,W15,W15,W23
199,4672,37961,W16,W10,W11
200,4678,30611,W13,W13,W11
201,4680,22973,W10,W10,W23
202,4690,25622,W11,W13,W22
203,4694,33476,W14,W20,W26
204,4716,40963,W17,W20,W13
205,4720,25566,W11,W12,W16
206,4733,25626,W11,W13,W26
207,4784,38565,W16,W22,W15
208,4814,33760,W14,W26,W10
209,4935,38573,W16,W22,W23
210,4972,40767,W17,W16,W17
211,4973,33285,W14,W16,W35
212,4975,85766,W35,W16,W16
213,4979,25562,W11,W12,W12
214,5086,37972,W16,W10,W22
215,5127,23770,W10,W26,W20
216,5134,30622,W13,W13,W22
217,5136,37976,W16,W10,W26
218,5161,33764,W14,W26,W14
219,5170,85762,W35,W16,W12
220,5182,30626,W13,W13,W26
221,5249,33065,W14,W12,W15
222,5285,25735,W11,W15,W35
223,5332,40460,W17,W10,W10
224,5358,28215,W12,W15,W15
225,5363,38163,W16,W14,W13
226,5404,33073,W14,W12,W23
227,5454,38767,W16,W26,W17
228,5481,85966,W35,W20,W16
229,5484,40761,W17,W16,W11
230,5527,28223,W12,W15,W23
231,5528,40967,W17,W20,W17
232,5553,23566,W10,W22,W16
233,5554,33485,W14,W20,W35
234,5576,33160,W14,W14,W10
235,5635,25635,W11,W13,W35
236,5649,25570,W11,W12,W20
237,5661,40464,W17,W10,W14
238,5669,85962,W35,W20,W12
239,5675,22963,W10,W10,W13
240,5696,35713,W15,W15,W13
241,5731,85770,W35,W16,W20
242,5781,23562,W10,W22,W12
243,5866,23765,W10,W26,W15
244,5874,40772,W17,W16,W22
245,5916,38563,W16,W22,W13
246,5922,33164,W14,W14,W14
247,5932,40776,W17,W16,W26
248,5967,37985,W16,W10,W35
249,5975,38761,W16,W26,W11
250,6023,23773,W10,W26,W23
251,6030,40961,W17,W20,W11
252,6060,86036,W35,W21,W36
253,6095,30635,W13,W13,W35
254,6134,33560,W14,W22,W10
255,6153,38167,W16,W14,W17
256,6224,85970,W35,W20,W20
257,6286,85886,W35,W18,W36
258,6317,33766,W14,W26,W16
259,6374,38772,W16,W26,W22
260,6379,85765,W35,W16,W15
261,6414,40972,W17,W20,W22
262,6422,23570,W10,W22,W20
263,6431,33063,W14,W12,W13
264,6434,38776,W16,W26,W26
265,6439,25565,W11,W12,W15
266,6444,35560,W15,W12,W10
267,6480,40976,W17,W20,W26
268,6490,33564,W14,W22,W14
269,6501,86018,W35,W21,W18
270,6513,22967,W10,W10,W17
271,6528,85773,W35,W16,W23
272,6563,33762,W14,W26,W12
273,6575,35717,W15,W15,W17
274,6586,28213,W12,W15,W13
275,6609,86032,W35,W21,W32
276,6627,25573,W11,W12,W23
277,6646,41260,W17,W26,W10
278,6680,86033,W35,W21,W33
279,6689,38161,W16,W14,W11
280,6737,38567,W16,W22,W17
281,6758,25660,W11,W14,W10
282,6765,85868,W35,W18,W18
283,6781,40785,W17,W16,W35
284,6793,40466,W17,W10,W16
285,6835,35564,W15,W12,W14
286,6874,85882,W35,W18,W32
287,6917,85965,W35,W20,W15
288,6949,86042,W35,W21,W42
289,6958,85883,W35,W18,W33
290,7010,41264,W17,W26,W14
291,7040,40462,W17,W10,W12
292,7067,23763,W10,W26,W13
293,7075,85973,W35,W20,W23
294,7093,22961,W10,W10,W11
295,7095,33166,W14,W14,W16
296,7120,38172,W16,W14,W22
297,7148,25664,W11,W14,W14
298,7177,35711,W15,W15,W11
299,7190,38176,W16,W14,W26
300,7225,23565,W10,W22,W15
301,7228,85892,W35,W18,W42
302,7248,86043,W35,W21,W43
303,7298,33770,W14,W26,W20
304,7307,30660,W13,W14,W10
305,7332,38561,W16,W22,W11
306,7355,33162,W14,W14,W12
307,7364,38785,W16,W26,W35
308,7367,33067,W14,W12,W17
309,7378,40985,W17,W20,W35
310,7407,23573,W10,W22,W23
311,7415,28060,W12,W12,W10
312,7460,85763,W35,W16,W13
313,7505,85893,W35,W18,W43
314,7511,22972,W10,W10,W22
315,7520,28217,W12,W15,W17
316,7571,22976,W10,W10,W26
317,7606,35722,W15,W15,W22
318,7637,33010,W14,W11,W10
319,7664,30664,W13,W14,W14
320,7673,35726,W15,W15,W26
321,7696,40470,W17,W10,W20
322,7710,38572,W16,W22,W22
323,7720,33566,W14,W22,W16
324,7738,25563,W11,W12,W13
325,7780,28064,W12,W12,W14
326,7782,38576,W16,W22,W26
327,7936,23767,W10,W26,W17
328,7938,33061,W14,W12,W11
329,7982,85963,W35,W20,W13
330,7983,33562,W14,W22,W12
331,7989,86021,W35,W21,W21
332,8004,41060,W17,W22,W10
333,8034,33014,W14,W11,W14
334,8039,33170,W14,W14,W20
335,8045,86027,W35,W21,W27
336,8066,38185,W16,W14,W35
337,8072,33765,W14,W26,W15
338,8093,35566,W15,W12,W16
339,8110,86029,W35,W21,W29
340,8131,28211,W12,W15,W11
341,8172,41266,W17,W26,W16
342,8204,85767,W35,W16,W17
343,8248,33773,W14,W26,W23
344,8252,86024,W35,W21,W24
345,8256,85871,W35,W18,W21
346,8301,85877,W35,W18,W27
347,8306,35562,W15,W12,W12
348,8316,86038,W35,W21,W38
349,8322,41064,W17,W22,W14
350,8332,33072,W14,W12,W22
351,8335,86037,W35,W21,W37
352,8351,25666,W11,W14,W16
353,8369,85879,W35,W18,W29
354,8403,41262,W17,W26,W12
355,8411,23563,W10,W22,W13
356,8438,33076,W14,W12,W26
357,8441,40465,W17,W10,W15
358,8482,22985,W10,W10,W35
359,8514,23761,W10,W26,W11
360,8551,86030,W35,W21,W30
361,8579,85874,W35,W18,W24
362,8589,28222,W12,W15,W22
363,8633,85460,W35,W10,W10
364,8652,25662,W11,W14,W12
365,8656,35735,W15,W15,W35
366,8672,85888,W35,W18,W38
367,8673,40473,W17,W10,W23
368,8698,28226,W12,W15,W26
369,8699,71336,W29,W27,W36
370,8703,25567,W11,W12,W17
371,8704,85887,W35,W18,W37
372,8733,38585,W16,W22,W35
373,8739,33570,W14,W22,W20
374,8784,85761,W35,W16,W11
375,8785,85967,W35,W20,W17
376,8839,33165,W14,W14,W15
377,8847,12705,W6,W5,W5
378,8885,85880,W35,W18,W30
379,8943,23772,W10,W26,W22
380,8951,85464,W35,W10,W14
381,8962,86040,W35,W21,W40
382,8977,30666,W13,W14,W16
383,9022,86045,W35,W21,W45
384,9029,33173,W14,W14,W23
385,9037,25510,W11,W11,W10
386,9048,23776,W10,W26,W26
387,9053,86044,W35,W21,W44
388,9054,86041,W35,W21,W41
389,9121,35570,W15,W12,W20
390,9132,28066,W12,W12,W16
391,9135,85772,W35,W16,W22
392,9139,71318,W29,W27,W18
393,9155,41270,W17,W26,W20
394,9202,85776,W35,W16,W26
395,9225,71332,W29,W27,W32
396,9264,30662,W13,W14,W12
397,9293,85961,W35,W20,W11
398,9298,85890,W35,W18,W40
399,9301,71333,W29,W27,W33
400,9333,33016,W14,W11,W16
401,9342,25561,W11,W12,W11
402,9353,23567,W10,W22,W17
403,9360,85895,W35,W18,W45
404,9380,33763,W14,W26,W13
405,9392,85894,W35,W18,W44
406,9394,85891,W35,W18,W41
407,9418,28062,W12,W12,W12
408,9426,25670,W11,W14,W20
409,9453,33085,W14,W12,W35
410,9462,25514,W11,W11,W14
411,9541,33565,W14,W22,W15
412,9556,71342,W29,W27,W42
413,9608,41066,W17,W22,W16
414,9612,33012,W14,W11,W12
415,9615,66336,W27,W27,W36
416,9673,85972,W35,W20,W22
417,9711,30510,W13,W11,W10
418,9717,28235,W12,W15,W35
419,9728,40463,W17,W10,W13
420,9749,85976,W35,W20,W26
421,9756,33573,W14,W22,W23
422,9797,25572,W11,W12,W22
423,9812,71343,W29,W27,W43
424,9847,41062,W17,W22,W12
425,9903,25576,W11,W12,W26
426,9929,41265,W17,W26,W15
427,9945,35565,W15,W12,W15
428,9974,86260,W35,W26,W10
429,9975,23561,W10,W22,W11
430,10026,23785,W10,W26,W35
431,10081,85785,W35,W16,W35
432,10082,66318,W27,W27,W18
433,10088,30670,W13,W14,W20
434,10121,85466,W35,W10,W16
435,10154,33163,W14,W14,W13
436,10157,30514,W13,W11,W14
437,10190,66332,W27,W27,W32
438,10200,41273,W17,W26,W23
439,10219,35660,W15,W14,W10
440,10221,35573,W15,W12,W23
441,10246,28070,W12,W12,W20
442,10272,66333,W27,W27,W33
443,10273,25665,W11,W14,W15
444,10342,33767,W14,W26,W17
445,10351,86264,W35,W26,W14
446,10356,85462,W35,W10,W12
447,10416,33020,W14,W11,W20
448,10433,23572,W10,W22,W22
449,10458,63260,W26,W16,W10
450,10512,25673,W11,W14,W23
451,10516,66342,W27,W27,W42
452,10522,83836,W34,W27,W36
453,10537,23576,W10,W22,W26
454,10586,71321,W29,W27,W21
455,10588,48260,W20,W16,W10
456,10598,38310,W16,W17,W10
457,10618,35664,W15,W14,W14
458,10629,41070,W17,W22,W20
459,10633,85985,W35,W20,W35
460,10641,71327,W29,W27,W27
461,10651,40467,W17,W10,W17
462,10712,71329,W29,W27,W29
463,10795,66343,W27,W27,W43
464,10810,63264,W26,W16,W14
465,10872,71324,W29,W27,W24
466,10882,25516,W11,W11,W16
467,10910,33563,W14,W22,W13
468,10947,71338,W29,W27,W38
469,10952,30665,W13,W14,W15
470,10963,48264,W20,W16,W14
471,10972,71337,W29,W27,W37
472,10994,25585,W11,W12,W35
473,11005,83818,W34,W27,W18
474,11007,38314,W16,W17,W14
475,11019,33761,W14,W26,W11
476,11025,63460,W26,W20,W10
477,11059,85470,W35,W10,W20
478,11115,33167,W14,W14,W17
479,11118,83832,W34,W27,W32
480,11138,28065,W12,W12,W15
481,11165,71330,W29,W27,W30
482,11178,25512,W11,W11,W12
483,11181,48460,W20,W20,W10
484,11183,83833,W34,W27,W33
485,11233,30673,W13,W14,W23
486,11273,33015,W14,W11,W15
487,11295,41263,W17,W26,W13
488,11296,40461,W17,W10,W11
489,11345,86060,W35,W22,W10
490,11360,28160,W12,W14,W10
491,11364,63464,W26,W20,W14
492,11411,35563,W15,W12,W13
493,11417,28073,W12,W12,W23
494,11440,41065,W17,W22,W15
495,11451,83842,W34,W27,W42
496,11479,33772,W14,W26,W22
497,11553,86266,W35,W26,W16
498,11557,33023,W14,W11,W23
499,11558,71340,W29,W27,W40
500,11570,48464,W20,W20,W14
501,11579,23585,W10,W22,W35
502,11602,33776,W14,W26,W26
503,11603,66321,W27,W27,W21
504,11616,71345,W29,W27,W45
505,11636,71344,W29,W27,W44
506,11637,71341,W29,W27,W41
507,11656,30516,W13,W11,W16
508,11657,66327,W27,W27,W27
509,11703,25663,W11,W14,W13
510,11716,41073,W17,W22,W23
511,11722,86064,W35,W22,W14
512,11732,66329,W27,W27,W29
513,11748,83843,W34,W27,W43
514,11750,40472,W17,W10,W22
515,11799,33161,W14,W14,W11
516,11808,85465,W35,W10,W15
517,11814,28164,W12,W14,W14
518,11817,86262,W35,W26,W12
519,11883,40476,W17,W10,W26
520,11911,66324,W27,W27,W24
521,11928,33567,W14,W22,W17
522,11985,30512,W13,W11,W12
523,11999,66338,W27,W27,W38
524,12022,66337,W27,W27,W37
525,12035,63266,W26,W16,W16
526,12053,35666,W15,W14,W16
527,12078,85473,W35,W10,W23
528,12115,25520,W11,W11,W20
529,12241,66330,W27,W27,W30
530,12300,33172,W14,W14,W22
531,12315,63262,W26,W16,W12
532,12331,41267,W17,W26,W17
533,12335,48266,W20,W16,W16
534,12381,35662,W15,W14,W12
535,12444,33176,W14,W14,W26
536,12493,38316,W16,W17,W16
537,12522,35567,W15,W12,W17
538,12564,30663,W13,W14,W13
539,12619,48262,W20,W16,W12
540,12637,86270,W35,W26,W20
541,12645,83821,W34,W27,W21
542,12663,63466,W26,W20,W16
543,12695,66340,W27,W27,W40
544,12708,83827,W34,W27,W27
545,12718,33561,W14,W22,W11
546,12757,66345,W27,W27,W45
547,12762,28063,W12,W12,W13
548,12785,83829,W34,W27,W29
549,12788,33785,W14,W26,W35
550,12791,66344,W27,W27,W44
551,12792,66341,W27,W27,W41
552,12793,38312,W16,W17,W12
553,12822,25667,W11,W14,W17
554,12880,33013,W14,W11,W13
555,12926,63462,W26,W20,W12
556,12972,41063,W17,W22,W13
557,12983,83824,W34,W27,W24
558,13004,48466,W20,W20,W16
559,13040,35510,W15,W11,W10
560,13043,40485,W17,W10,W35
561,13044,30520,W13,W11,W20
562,13083,83838,W34,W27,W38
563,13100,41261,W17,W26,W11
564,13105,83837,W34,W27,W37
565,13110,86066,W35,W22,W16
566,13123,25515,W11,W11,W15
567,13127,63270,W26,W16,W20
568,13222,85463,W35,W10,W13
569,13251,33572,W14,W22,W22
570,13294,48462,W20,W20,W12
571,13317,83830,W34,W27,W30
572,13335,35670,W15,W14,W20
573,13347,35561,W15,W12,W11
574,13363,10205,W5,W5,W5
575,13392,86062,W35,W22,W12
576,13405,33576,W14,W22,W26
577,13455,63536,W26,W21,W36
578,13463,28166,W12,W14,W16
579,13487,25523,W11,W11,W23
580,13490,86265,W35,W26,W15
581,13513,48270,W20,W16,W20
582,13537,35514,W15,W11,W14
583,13597,41272,W17,W26,W22
584,13648,33185,W14,W14,W35
585,13664,25661,W11,W14,W11
586,13745,30667,W13,W14,W17
587,13747,41276,W17,W26,W26
588,13769,63470,W26,W20,W20
589,13772,38320,W16,W17,W20
590,13795,83840,W34,W27,W40
591,13797,28162,W12,W14,W12
592,13798,86273,W35,W26,W23
593,13851,83845,W34,W27,W45
594,13872,83841,W34,W27,W41
595,13873,83844,W34,W27,W44
596,13875,35572,W15,W12,W22
597,13937,63265,W26,W16,W15
598,13942,63386,W26,W18,W36
599,13958,23310,W10,W17,W10
600,13960,28067,W12,W12,W17
601,14033,35576,W15,W12,W26
602,14041,33017,W14,W11,W17
603,14055,63518,W26,W21,W18
604,14067,41067,W17,W22,W17
605,14085,30515,W13,W11,W15
606,14177,25672,W11,W14,W22
607,14180,48470,W20,W20,W20
608,14184,63532,W26,W21,W32
609,14201,85467,W35,W10,W17
610,14237,86070,W35,W22,W20
611,14240,63273,W26,W16,W23
612,14291,63533,W26,W21,W33
613,14292,35665,W15,W14,W15
614,14332,25676,W11,W14,W26
615,14382,48265,W20,W16,W15
616,14453,23314,W10,W17,W14
617,14467,30523,W13,W11,W23
618,14546,28010,W12,W11,W10
619,14588,63465,W26,W20,W15
620,14597,63368,W26,W18,W18
621,14616,30661,W13,W14,W11
622,14645,33585,W14,W22,W35
623,14646,63542,W26,W21,W42
624,14663,35673,W15,W14,W23
625,14714,63382,W26,W18,W32
626,14717,38315,W16,W17,W15
627,14723,48273,W20,W16,W23
628,14815,28170,W12,W14,W20
629,14837,63383,W26,W18,W33
630,14853,28061,W12,W12,W11
631,14879,41061,W17,W22,W11
632,14891,63473,W26,W20,W23
633,14909,25513,W11,W11,W13
634,14911,33011,W14,W11,W11
635,14950,85461,W35,W10,W11
636,14955,41285,W17,W26,W35
637,14979,86263,W35,W26,W13
638,15008,63543,W26,W21,W43
639,15057,28014,W12,W11,W14
640,15075,48465,W20,W20,W15
641,15091,38323,W16,W17,W23
642,15108,86065,W35,W22,W15
643,15132,6110,W3,W23,W10
644,15161,30672,W13,W14,W22
645,15203,63392,W26,W18,W42
646,15267,35516,W15,W11,W16
647,15364,35585,W15,W12,W35
648,15366,30676,W13,W14,W26
649,15405,41072,W17,W22,W22
650,15425,85472,W35,W10,W22
651,15439,28072,W12,W12,W22
652,15443,63263,W26,W16,W13
653,15450,48473,W20,W20,W23
654,15466,86073,W35,W22,W23
655,15479,33022,W14,W11,W22
656,15557,71786,W29,W36,W36
657,15591,41076,W17,W22,W26
658,15596,85476,W35,W10,W26
659,15601,63393,W26,W18,W43
660,15642,28076,W12,W12,W26
661,15654,35512,W15,W11,W12
662,15674,33026,W14,W11,W26
663,15687,25685,W11,W14,W35
664,15701,6114,W3,W23,W14
665,15864,28165,W12,W14,W15
666,16018,30513,W13,W11,W13
667,16036,48263,W20,W16,W13
668,16041,86267,W35,W26,W17
669,16091,35663,W15,W14,W13
670,16101,63463,W26,W20,W13
671,16133,63521,W26,W21,W21
672,16142,71768,W29,W36,W18
673,16198,25517,W11,W11,W17
674,16212,63527,W26,W21,W27
675,16229,23316,W10,W17,W16
676,16273,71782,W29,W36,W32
677,16301,28173,W12,W14,W23
678,16321,63529,W26,W21,W29
679,16403,71783,W29,W36,W33
680,16515,63267,W26,W16,W17
681,16555,38313,W16,W17,W13
682,16570,63524,W26,W21,W24
683,16606,23312,W10,W17,W12
684,16688,63538,W26,W21,W38
685,16725,63537,W26,W21,W37
686,16759,86063,W35,W22,W13
687,16760,71792,W29,W36,W42
688,16791,63371,W26,W18,W21
689,16794,85485,W35,W10,W35
690,16795,48463,W20,W20,W13
691,16810,35520,W15,W11,W20
